student_base_elo,last_question_difficulty,session_accuracy,current_streak,avg_time_taken,target_difficulty
1168,1041,0.62,3,59,1129
1199,1161,0.85,5,39,1364
1371,1482,0.56,0,35,1491
1227,1144,0.59,0,5,1178
1096,1214,0.41,0,31,1200
1830,1889,0.37,0,26,1870
1864,1886,0.72,1,45,1949
1125,1215,0.79,0,48,1238
1683,1615,0.49,0,54,1594
1379,1439,0.93,4,59,1604
1988,2050,0.98,7,7,2352
862,927,1.0,5,35,1152
882,742,0.23,0,39,702
858,1002,0.68,2,23,1089
906,903,0.87,3,27,1048
1099,1083,0.73,2,42,1178
1320,1413,0.98,2,24,1545
1885,1818,0.91,7,35,2090
1153,1174,0.82,8,6,1482
1454,1394,0.93,6,6,1658
1232,1222,0.56,3,46,1301
1910,1876,0.54,0,7,1902
1150,1293,0.62,1,59,1321
1901,2043,0.39,0,55,2006
1373,1277,0.99,4,14,1490
1784,1641,0.53,0,52,1626
1249,1300,0.33,0,31,1274
1469,1560,0.75,0,30,1598
1668,1689,0.41,0,25,1676
1195,1169,0.66,1,59,1203
1867,1881,0.7,3,53,1981
1307,1420,0.38,0,48,1382
1286,1146,0.55,3,48,1224
1415,1480,0.49,0,43,1478
1509,1428,0.91,7,49,1680
1819,1945,0.31,0,47,1896
1867,1969,0.65,1,59,2002
1074,1114,0.85,2,49,1206
1730,1839,0.47,0,31,1834
1223,1099,0.33,0,14,1094
1815,1755,0.31,0,60,1706
1509,1615,0.21,0,24,1572
1002,1126,0.44,0,20,1117
1495,1518,0.33,0,57,1472
1689,1592,0.34,0,17,1568
967,877,0.33,0,13,872
1641,1592,0.49,0,23,1590
1953,2066,0.43,0,8,2076
1447,1386,0.83,5,33,1586
995,1127,0.27,0,19,1092
1853,1804,1.0,4,35,1999
1532,1463,0.59,2,45,1536
1334,1319,0.4,0,27,1304
1763,1851,0.44,0,8,1862
997,999,0.79,0,11,1062
879,943,0.99,8,60,1236
1875,1990,0.28,0,60,1937
1311,1344,0.91,3,15,1496
1033,927,0.72,1,41,990
1011,1095,0.85,7,23,1358
1176,1092,0.55,0,42,1100
1513,1570,0.75,0,39,1608
1453,1547,0.6,2,34,1622
1304,1154,0.25,0,47,1096
1442,1328,0.72,1,40,1391
1646,1642,0.75,0,58,1660
1966,1960,0.6,1,20,2005
925,991,0.94,5,57,1187
1563,1581,0.71,2,45,1672
1307,1333,0.53,0,46,1318
906,797,0.74,2,22,893
1811,1686,0.76,2,47,1765
1643,1567,0.49,0,34,1566
1161,1112,0.22,0,39,1070
1462,1575,0.84,6,38,1806
1176,1220,0.75,3,51,1328
1111,1045,0.63,3,55,1134
1360,1312,0.75,2,8,1430
980,847,0.21,0,44,804
944,960,0.9,5,44,1170
1755,1651,0.44,0,25,1642
1812,1789,0.95,4,20,1976
832,908,0.64,0,8,949
1385,1258,0.48,0,27,1255
1080,959,0.73,3,59,1064
1365,1245,0.74,2,21,1341
1415,1323,0.62,0,11,1361
1175,1279,0.72,0,39,1312
1059,916,0.8,0,20,961
1599,1715,0.99,3,21,1878
1029,1011,0.66,1,6,1085
1284,1230,0.99,2,13,1384
1895,2007,0.96,5,12,2246
1171,1151,0.47,0,45,1146
1639,1574,0.55,3,49,1652
1392,1304,0.43,0,49,1274
982,920,0.76,0,14,979
1698,1738,0.98,5,37,1960
875,827,0.65,1,28,880
1502,1567,0.39,0,54,1530
1620,1679,0.35,0,30,1656
1043,1014,0.96,2,41,1143
1925,1800,0.81,4,31,1966
1668,1652,0.28,0,37,1619
1430,1380,0.28,0,11,1367
1513,1425,0.59,3,5,1548
1200,1292,0.65,1,24,1344
903,765,0.28,0,14,752
1364,1308,0.36,0,60,1267
1253,1172,0.87,3,40,1318
930,795,0.83,4,30,964
1068,1136,0.38,0,30,1118
1766,1891,0.92,2,43,2014
1471,1480,0.31,0,5,1472
1059,1073,0.33,0,50,1028
1133,1206,0.3,0,54,1156
1892,1802,0.54,1,58,1818
1161,1050,0.75,0,57,1068
971,1058,0.29,0,14,1046
1443,1366,0.9,7,18,1636
1936,1866,0.37,0,53,1826
996,1024,0.94,3,17,1180
1552,1558,0.91,5,37,1770
1363,1449,0.45,0,14,1462
1891,2027,0.61,2,59,2084
2000,1995,0.56,1,56,2014
1239,1211,0.48,0,28,1208
1637,1651,0.5,0,13,1671
1818,1747,0.69,1,24,1806
1269,1305,0.5,0,46,1285
1631,1620,0.44,0,51,1591
1097,1020,0.67,3,9,1156
1448,1466,0.6,2,11,1561
1135,1271,0.77,2,9,1392
1726,1876,0.51,3,12,1988
852,877,0.88,3,52,1004
818,858,0.27,0,34,824
1071,937,0.33,0,54,892
1302,1334,0.8,1,42,1409
1818,1751,0.74,1,59,1797
1199,1192,0.48,0,58,1169
846,728,0.47,0,33,724
1739,1704,0.48,0,34,1701
1901,2011,0.56,2,53,2060
1213,1341,0.63,1,46,1370
1718,1619,0.48,0,28,1616
1432,1377,0.39,0,37,1360
1836,1785,0.61,2,50,1842
1817,1887,0.69,0,12,1936
1265,1378,0.57,2,7,1468
1092,1014,0.42,0,48,982
1961,1992,0.37,0,40,1972
907,936,0.69,0,22,964
1620,1715,0.44,0,5,1726
1980,1985,0.74,0,46,2001
1786,1695,0.83,6,27,1924
941,996,0.83,5,15,1196
1784,1822,0.63,0,26,1842
1633,1775,0.89,2,10,1914
1520,1372,0.37,0,37,1352
1370,1489,0.83,3,46,1608
1491,1629,0.85,7,33,1892
1961,1887,0.54,1,12,1943
1850,1876,0.81,4,25,2042
1103,1179,0.98,7,31,1461
893,855,0.23,0,15,814
1418,1477,0.37,0,39,1458
1224,1291,0.52,0,22,1294
1862,1752,0.35,0,47,1710
1643,1647,0.23,0,49,1586
1559,1631,0.83,8,32,1920
1208,1355,0.68,0,58,1362
1400,1348,0.51,3,49,1420
974,1091,0.61,1,9,1158
829,949,0.27,0,24,914
846,791,0.97,6,22,1042
892,1006,0.5,0,55,986
1604,1669,0.97,6,50,1900
1702,1705,0.47,0,14,1720
1411,1418,0.53,0,8,1442
1716,1789,0.53,1,59,1804
805,919,0.68,3,39,1036
818,689,0.68,2,42,776
1903,1894,0.4,0,30,1879
886,800,0.63,0,9,840
987,1114,0.5,0,14,1134
1142,1025,0.89,5,29,1234
1561,1688,0.62,0,31,1706
1455,1529,0.94,6,17,1775
1317,1311,0.2,0,51,1246
1204,1285,0.73,3,36,1410
1463,1524,0.54,0,26,1530
1851,1998,0.41,0,58,1964
994,1127,0.88,5,20,1334
1292,1298,0.34,0,17,1274
1234,1371,0.87,5,5,1596
1842,1729,0.25,0,58,1672
1049,1047,0.88,7,58,1294
1607,1593,0.63,0,18,1612
1062,1118,0.34,0,24,1094
1835,1738,0.28,0,50,1685
1535,1402,0.78,0,56,1424
1808,1933,0.78,0,14,1995
1959,1896,0.87,8,47,2172
1200,1111,0.95,3,9,1288
1216,1198,0.75,2,20,1296
1244,1215,0.23,0,44,1174
1287,1182,0.74,1,9,1268
1148,1167,0.48,0,56,1144
1209,1252,0.64,1,35,1303
1126,1258,0.78,2,56,1340
1033,933,0.44,0,28,924
1321,1226,0.93,4,56,1390
1792,1936,0.49,0,41,1934
1098,1173,0.64,3,27,1284
1308,1241,0.21,0,33,1198
1936,1898,0.51,0,60,1880
1589,1669,0.49,0,22,1668
951,822,0.7,3,19,942
1192,1204,0.51,0,32,1206
1374,1226,0.85,4,48,1378
844,929,0.28,0,20,896
1674,1797,0.82,7,35,2055
1367,1462,0.63,0,9,1502
1826,1786,0.78,1,18,1858
921,802,0.99,7,27,1086
920,783,0.95,5,43,1000
1694,1669,0.49,0,57,1648
1928,1786,0.36,0,15,1765
1134,1076,0.99,3,51,1220
1129,1091,0.37,0,21,1072
1852,1925,0.22,0,30,1883
1420,1393,0.73,3,36,1518
1914,1971,0.66,0,56,1975
1114,1046,0.35,0,59,1004
1881,2011,0.2,0,57,1946
1943,1922,0.74,2,60,1998
814,904,0.5,0,48,884
1919,2014,0.29,0,20,1982
927,1038,0.47,0,15,1034
1262,1372,0.63,3,55,1462
1297,1279,0.39,0,15,1262
940,996,0.6,3,18,1101
1239,1325,0.69,2,42,1414
1563,1615,0.59,2,48,1668
1468,1580,0.29,0,35,1548
1029,1040,0.62,1,16,1088
1239,1171,0.31,0,28,1142
1353,1231,0.76,0,33,1270
987,1078,0.53,2,37,1142
1973,1893,0.34,0,46,1849
1097,992,0.87,2,7,1128
1065,1193,0.53,2,24,1258
1672,1627,0.93,4,32,1812
1610,1591,0.95,5,42,1808
1073,982,0.99,4,50,1156
1285,1353,0.47,0,45,1348
1365,1291,0.24,0,44,1252
1067,1037,0.51,3,6,1148
1405,1377,0.4,0,34,1362
1382,1522,0.65,1,52,1554
1494,1568,0.24,0,41,1529
1481,1521,0.33,0,31,1496
931,1071,0.32,0,32,1044
1921,1872,0.65,2,24,1954
1249,1334,0.5,0,45,1334
1685,1813,0.98,8,30,2125
1733,1611,0.92,7,29,1884
1013,1090,0.73,0,39,1124
1350,1446,0.68,2,30,1533
1255,1244,0.67,1,38,1300
1929,2051,0.59,3,26,2154
1667,1650,0.38,0,25,1632
847,994,0.92,2,22,1117
1815,1760,0.24,0,26,1721
858,795,0.76,0,59,814
1259,1312,0.51,3,27,1404
1606,1728,0.56,2,22,1797
946,979,0.48,0,51,956
1713,1726,0.91,2,41,1848
1117,969,0.63,0,55,968
1690,1717,0.79,1,23,1790
1264,1175,0.76,1,35,1244
984,1049,0.6,1,60,1074
1174,1155,0.31,0,40,1126
1291,1426,0.95,5,52,1624
921,1036,0.58,3,34,1138
1180,1168,0.5,0,18,1168
897,830,0.34,0,34,806
1756,1851,0.37,0,44,1832
962,854,0.98,6,31,1106
1326,1235,0.31,0,15,1206
1439,1341,0.86,6,7,1595
1936,2010,0.41,0,19,1996
1229,1139,0.78,3,49,1251
1869,1950,0.8,3,28,2085
1484,1516,0.29,0,21,1484
1078,1047,0.39,0,35,1030
1966,2067,0.46,0,54,2041
899,885,0.96,8,59,1174
915,802,0.57,2,37,872
942,917,0.9,7,46,1167
970,1083,0.97,7,12,1384
1438,1579,0.47,0,59,1554
861,833,0.52,2,47,876
1327,1437,0.48,0,46,1414
1329,1462,0.7,0,52,1472
1681,1641,0.45,0,53,1614
1663,1736,0.44,0,19,1727
1017,1034,0.81,3,56,1150
1667,1694,0.87,6,38,1930
1082,1002,0.43,0,10,1012
1603,1645,0.5,0,49,1625
1219,1203,0.27,0,48,1148
1997,1874,0.6,0,26,1889
1668,1572,0.36,0,25,1551
974,1084,0.98,4,18,1276
994,911,0.81,6,7,1158
896,931,0.37,0,26,912
942,793,0.2,0,12,768
944,1072,0.38,0,22,1054
1659,1792,0.74,0,46,1808
1360,1261,0.49,0,14,1280
1926,1869,0.8,0,32,1914
1845,1809,0.55,2,53,1856
1706,1798,0.74,3,23,1924
1627,1607,0.24,0,45,1568
1441,1570,0.37,0,19,1550
839,784,0.97,3,35,944
1583,1441,0.53,2,8,1526
1181,1067,0.46,0,12,1081
915,842,0.52,3,41,935
1679,1829,0.31,0,60,1780
1521,1569,0.81,3,19,1706
1190,1287,0.73,3,52,1392
847,767,0.42,0,40,755
801,755,0.44,0,14,766
813,664,0.84,2,6,795
1348,1498,0.44,0,57,1469
990,1039,0.66,1,16,1093
1374,1524,0.37,0,41,1504
1418,1521,0.91,5,41,1732
1795,1918,0.23,0,54,1858
1292,1373,0.49,0,34,1372
1114,980,0.89,4,32,1158
1334,1399,0.62,1,30,1447
1751,1683,0.33,0,23,1658
1475,1561,0.87,6,51,1776
1484,1589,0.55,3,37,1686
1895,1813,0.66,1,16,1867
1951,1873,0.97,6,9,2144
896,955,0.64,2,12,1056
1387,1489,0.66,3,58,1583
1222,1286,0.53,1,27,1320
1819,1744,0.93,6,9,2008
1097,1214,0.42,0,53,1182
1168,1164,0.48,0,51,1141
940,1048,0.58,1,51,1070
1711,1746,0.36,0,41,1725
1795,1798,0.41,0,43,1784
2000,2080,0.45,0,38,2072
1353,1227,0.21,0,44,1184
1192,1274,0.9,4,42,1454
1868,1832,0.27,0,30,1798
1592,1543,0.4,0,48,1508
897,881,0.78,3,42,1013
1305,1229,0.4,0,55,1194
1297,1222,0.37,0,32,1202
1742,1692,0.75,1,49,1740
1729,1729,0.21,0,10,1706
1429,1465,0.57,0,41,1476
981,878,0.8,3,49,993
869,954,0.75,0,44,992
1874,1846,0.2,0,38,1801
1728,1726,0.39,0,16,1710
1087,1014,0.56,2,52,1063
802,829,0.84,4,18,1000
1514,1480,0.63,0,19,1500
1969,1949,0.7,1,17,2009
1828,1947,0.59,3,54,2030
1874,1950,0.37,0,36,1930
1540,1529,0.8,1,57,1584
1559,1548,0.87,6,42,1784
1937,1858,0.84,7,32,2119
1549,1482,0.78,2,42,1584
1194,1320,0.39,0,42,1304
1030,955,0.58,1,20,997
1058,1064,0.38,0,33,1046
1824,1883,0.86,7,59,2127
1696,1811,0.2,0,26,1766
1269,1263,0.56,1,46,1282
1189,1143,0.89,4,53,1302
1981,1918,0.52,0,28,1921
1437,1436,0.68,1,25,1493
1741,1849,0.24,0,44,1810
1050,921,0.85,2,54,1014
1605,1653,0.99,6,38,1906
1800,1807,0.61,1,38,1854
1863,1751,0.75,1,31,1818
1869,1818,0.34,0,43,1794
1066,1063,0.28,0,10,1050
841,765,0.77,0,24,806
1236,1386,0.63,1,21,1436
1649,1758,0.56,0,59,1747
1837,1857,0.28,0,30,1824
967,855,0.88,4,17,1032
1186,1088,0.7,2,40,1178
1115,1125,0.57,1,15,1166
1759,1674,0.49,0,26,1672
1871,1902,0.37,0,22,1882
1900,1779,0.93,6,46,2004
1115,1018,0.38,0,43,1000
1958,1816,0.5,0,57,1796
803,699,0.68,2,19,786
940,937,0.55,0,10,964
1046,966,0.56,3,41,1065
1717,1597,0.51,2,21,1658
1235,1118,0.49,0,41,1116
1046,1007,0.43,0,42,996
1827,1904,0.76,1,26,1973
809,867,0.96,8,11,1196
1691,1834,0.97,4,46,2004
1654,1547,0.6,2,15,1622
1310,1219,0.26,0,5,1203
926,997,0.5,0,42,997
1434,1434,0.7,1,26,1494
819,877,0.72,2,60,950
1898,1824,0.4,0,60,1789
1610,1558,0.51,3,53,1630
947,909,0.75,3,51,1016
1441,1459,0.79,2,21,1562
2000,2087,0.46,0,27,2081
1143,1167,0.55,0,36,1174
1902,1784,0.35,0,49,1742
1058,1106,0.27,0,41,1072
1406,1270,0.57,3,40,1370
1730,1792,0.73,2,34,1886
1501,1431,0.48,0,20,1428
1961,2110,0.28,0,55,2057
1359,1423,0.33,0,5,1418
1694,1544,0.22,0,28,1502
1671,1720,0.22,0,8,1698
1660,1521,0.93,4,58,1686
1142,1261,0.61,0,30,1278
915,857,0.24,0,33,818
1777,1680,0.75,2,13,1798
1473,1579,0.98,7,20,1861
1142,1079,0.38,0,24,1061
831,981,0.39,0,20,964
965,1073,0.89,8,56,1352
1591,1736,0.91,4,36,1918
1362,1358,0.66,2,49,1422
1901,1997,0.33,0,5,1992
879,996,0.66,2,17,1080
1618,1550,0.72,0,36,1583
1482,1578,0.37,0,44,1558
946,888,0.88,7,23,1155
1724,1843,0.3,0,7,1833
880,745,0.53,3,27,840
1694,1580,0.23,0,37,1540
1324,1421,0.45,0,32,1414
1421,1378,0.53,3,34,1472
1160,1143,0.86,6,35,1377
842,797,0.69,1,12,876
1263,1314,0.68,2,17,1401
1474,1565,0.76,3,48,1674
1782,1667,0.98,8,25,1979
1651,1677,0.89,8,53,1956
1826,1828,0.33,0,41,1802
1298,1250,0.57,3,33,1350
1561,1606,0.75,1,9,1694
1782,1827,0.88,3,13,1994
1809,1750,0.82,5,34,1948
1295,1369,0.57,2,36,1440
1656,1567,0.49,0,47,1546
1433,1581,0.86,5,16,1785
1396,1293,0.83,4,14,1482
1231,1268,0.95,5,20,1486
1686,1621,0.97,6,6,1892
1385,1281,0.67,2,42,1366
1848,1814,0.37,0,40,1794
1495,1527,0.63,0,50,1526
1861,1983,0.24,0,30,1944
1453,1481,0.21,0,8,1458
1014,868,0.78,1,9,960
1111,1258,0.92,7,25,1531
811,844,0.55,3,25,942
1084,998,0.68,0,20,1025
1342,1314,0.63,0,38,1334
1694,1809,0.57,1,46,1830
868,1003,0.29,0,51,952
1251,1115,0.82,2,57,1203
1046,1161,0.91,5,35,1372
1474,1393,0.8,1,24,1468
957,1096,0.38,0,17,1078
1174,1246,0.32,0,22,1219
1626,1526,0.96,8,20,1835
1612,1529,0.7,0,37,1559
1521,1460,0.52,0,30,1463
1175,1072,0.56,3,15,1171
1419,1444,0.26,0,12,1428
1135,1093,0.26,0,12,1077
1623,1665,0.71,3,23,1786
1921,1866,0.2,0,11,1841
1297,1179,0.75,3,39,1306
851,932,0.72,0,57,945
1144,994,0.97,4,38,1184
944,823,0.3,0,52,773
1594,1710,0.57,2,21,1780
1919,1823,0.65,1,44,1876
842,867,0.72,0,8,920
1756,1648,0.4,0,46,1613
1372,1260,0.63,3,60,1350
1155,1047,0.44,0,38,1038
1575,1686,0.48,0,13,1703
1780,1904,0.61,3,27,2010
1923,2003,0.91,2,48,2104
1395,1542,0.55,3,51,1620
1103,1237,0.44,0,49,1208
1487,1364,0.65,1,54,1396
827,850,0.43,0,41,840
1316,1229,0.48,0,23,1226
1955,1819,0.57,3,59,1900
817,737,0.41,0,24,724
1411,1486,0.47,0,38,1482
864,1010,0.84,7,53,1251
1726,1828,0.26,0,27,1792
1368,1437,0.7,1,20,1497
1994,2008,0.4,0,38,1993
1263,1217,0.99,2,45,1350
1613,1463,0.23,0,5,1442
1179,1151,0.93,2,32,1276
1143,1138,0.51,1,25,1170
1741,1768,0.3,0,26,1738
1775,1830,0.85,5,34,2032
1931,1936,0.99,4,33,2130
1619,1749,0.4,0,56,1714
1646,1602,0.89,5,14,1830
1886,1980,0.91,6,30,2222
1256,1296,0.72,0,36,1329
830,970,0.39,0,35,954
1134,1072,0.71,1,11,1154
1617,1689,0.46,0,40,1683
1332,1319,0.64,0,46,1320
1670,1804,0.5,0,42,1804
1126,1151,0.84,7,49,1392
1900,1992,0.64,1,46,2023
1867,1743,0.8,3,60,1858
849,793,0.75,2,16,890
1905,2017,0.34,0,19,1993
1109,1008,0.35,0,17,986
948,1012,0.74,1,7,1098
1363,1408,0.72,3,52,1511
1180,1189,0.67,2,14,1294
1789,1814,0.74,0,10,1870
1937,1859,0.26,0,41,1823
1513,1488,0.57,3,54,1568
1767,1677,0.46,0,35,1671
1533,1550,0.37,0,55,1510
1921,1778,0.64,3,13,1909
1584,1629,0.59,1,49,1652
1325,1451,0.97,3,14,1632
1920,1874,0.64,0,27,1895
1867,1837,0.9,7,22,2107
1905,2055,0.23,0,56,1994
1312,1171,0.91,3,34,1322
1046,1005,0.56,1,8,1064
1589,1680,0.82,6,33,1908
1391,1273,0.35,0,55,1230
1437,1333,0.56,2,47,1382
1020,1161,0.61,1,26,1208
960,829,0.26,0,47,773
921,883,0.73,0,52,898
984,947,0.98,7,41,1229
851,932,0.8,1,29,1007
1849,1997,0.77,2,25,2098
990,1006,0.36,0,53,965
1564,1552,0.62,1,25,1600
1713,1576,0.43,0,10,1586
1956,1848,0.75,3,15,1976
1508,1403,0.7,3,50,1503
1238,1343,0.24,0,48,1284
1681,1688,0.49,0,52,1666
1404,1423,0.24,0,46,1364
1700,1558,0.88,8,37,1855
1387,1521,0.55,2,23,1588
1112,1099,0.2,0,5,1074
825,708,0.51,3,17,800
1997,2023,0.98,4,53,2195
1506,1464,0.77,1,44,1534
1339,1485,0.21,0,36,1442
1910,1894,0.87,4,58,2050
945,1007,0.67,3,9,1142
1057,1108,1.0,8,33,1423
1532,1457,0.95,3,35,1614
1724,1735,0.24,0,19,1696
1731,1644,0.86,8,43,1938
1851,1707,0.72,1,58,1750
1744,1652,0.8,2,27,1757
1941,2070,0.61,0,15,2086
1903,1887,0.49,0,16,1886
1845,1763,0.4,0,29,1748
1489,1443,0.32,0,52,1396
1496,1416,0.63,3,19,1526
1895,1930,0.93,4,39,2114
1229,1342,0.22,0,41,1300
1891,1769,0.49,0,48,1748
963,878,0.54,0,60,864
1727,1682,0.44,0,37,1673
1846,1706,0.7,3,52,1806
1850,1974,0.78,0,31,2016
1423,1436,0.73,2,58,1510
1077,1125,0.49,0,39,1124
1370,1328,0.41,0,13,1334
1680,1769,0.73,1,27,1834
1350,1344,0.58,0,59,1336
1663,1607,0.86,5,5,1831
995,852,0.7,2,10,962
1731,1595,0.28,0,5,1582
1066,1061,0.25,0,30,1024
1560,1685,0.97,6,5,1956
1428,1373,0.26,0,35,1337
1825,1756,0.28,0,45,1723
1507,1413,0.9,4,25,1593
1046,985,0.46,0,42,979
1400,1418,0.27,0,8,1404
1842,1879,0.99,6,56,2112
972,949,0.84,6,52,1160
1444,1552,0.22,0,55,1490
1842,1812,0.73,0,9,1866
1326,1324,0.74,3,54,1430
1024,888,0.33,0,12,882
1359,1396,0.35,0,26,1374
1329,1459,0.23,0,31,1418
1393,1356,0.61,1,51,1382
1924,1974,0.54,1,6,2030
1529,1636,0.99,5,33,1860
911,1025,0.31,0,26,996
980,852,0.81,7,47,1088
1824,1932,0.94,5,29,2148
1568,1499,0.33,0,37,1474
1027,1068,0.33,0,18,1042
1166,1094,0.52,1,50,1107
1553,1656,0.44,0,55,1627
1052,956,0.54,3,20,1052
1812,1883,0.22,0,43,1841
1819,1926,0.39,0,43,1910
1521,1463,0.73,2,32,1558
858,822,0.24,0,60,763
1870,1807,0.55,3,26,1904
1469,1503,0.29,0,52,1452
1332,1468,0.52,1,20,1501
1973,1950,0.99,4,51,2124
1978,1947,0.26,0,35,1911
1619,1518,0.54,0,41,1524
1855,1728,0.23,0,41,1688
898,1014,0.83,8,16,1304
